,一,二,三,四,五,六,日
游 泳 池,1,2,3,4,5,6,7
,休館,13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,14:00~18:30,休館
SPA,,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,
健 身 房,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,14:00-18:30,
游 泳 池,8,9,10,11,12,13,14
,休館,13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,14:00~18:30,休館
SPA,,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,
健 身 房,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,14:00-18:30,
游 泳 池,15,16,17,18,19,20,21
,休館,13:00-21:00,13:00-21:00,13:00-21:00,13:00-21:00,14:00~18:30,休館
SPA,,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,同游泳池開放,
健 身 房,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,15:00-21:30,14:00-18:30,
游 泳 池,22,23,24,25,26,27,28
,休館,13:00-21:00,13:00-21:00,國定假日 休館,13:00-21:00,14:00~18:30,休館
SPA,,同游泳池開放,同游泳池開放,,同游泳池開放,同游泳池開放,
健 身 房,15:00-21:30,15:00-21:30,15:00-21:30,,15:00-21:30,14:00-18:30,
游 泳 池,29,30,31,游泳池冬季休館 自 114/12/28 至 115/3/16 休館 115/3/17(二)開放 ★綜合球場週六開放時間為14:00至18:30；週日休館 ★本校游泳池僅開放淺水區25m*25m區域及部分SPA區域。,,,
,游泳池冬季休館 自 114/12/28 至 115/3/16 休館,,,,,,
SPA,,,,,,,
健 身 房,14:00-18:30,14:00-18:30,14:00-18:30,,,,
